topology,iteration,train_accuracy,test_accuracy,roc_auc_test,aps,confusion_matrix,classifier_path,runtime
HHH,0,0.9437689969604863,0.7878787878787878,0.8677860082304526,0.8775034829464677,"[[169  56]
 [ 49 221]]",classifiers/HHH_sme_rf_clf_gs_0.pickle,3499.9228603839874
HHH,1,0.9979736575481256,0.8262626262626263,0.8926255144032922,0.8993830805186891,"[[176  49]
 [ 37 233]]",classifiers/HHH_sme_rf_clf_gs_1.pickle,2435.3018777370453
HHH,2,0.997467071935157,0.8181818181818182,0.8920164609053498,0.8929819322730229,"[[174  51]
 [ 39 231]]",classifiers/HHH_sme_rf_clf_gs_2.pickle,1966.5343487262726
HHH,3,0.9599797365754813,0.7919191919191919,0.8768888888888888,0.8912564874149745,"[[176  49]
 [ 54 216]]",classifiers/HHH_sme_rf_clf_gs_3.pickle,1845.113785982132
HHH,4,0.9275582573454914,0.7555555555555555,0.8611851851851853,0.8815518657291507,"[[161  64]
 [ 57 213]]",classifiers/HHH_sme_rf_clf_gs_4.pickle,1723.02694773674
HHH,5,0.9245187436676798,0.8101010101010101,0.8963786008230452,0.9060216125664183,"[[182  43]
 [ 51 219]]",classifiers/HHH_sme_rf_clf_gs_5.pickle,1954.109233379364
HHH,6,0.9954407294832827,0.8161616161616162,0.8962798353909466,0.9057759720653669,"[[174  51]
 [ 40 230]]",classifiers/HHH_sme_rf_clf_gs_6.pickle,1873.688874721527
HHH,7,0.9959473150962512,0.7777777777777778,0.8761152263374485,0.8879126456526159,"[[164  61]
 [ 49 221]]",classifiers/HHH_sme_rf_clf_gs_7.pickle,1935.1775333881378
HHH,8,0.9361702127659575,0.8202020202020202,0.8901399176954733,0.8962696408881184,"[[176  49]
 [ 40 230]]",classifiers/HHH_sme_rf_clf_gs_8.pickle,2181.0486102104187
HHH,9,0.975177304964539,0.8161616161616162,0.8737777777777778,0.8807832447426855,"[[175  50]
 [ 41 229]]",classifiers/HHH_sme_rf_clf_gs_9.pickle,2039.6694378852844
EEHEE,0,0.990280777537797,0.9827586206896551,0.9944262782401901,0.996246631215685,"[[114   2]
 [  2 114]]",classifiers/EEHEE_sme_rf_clf_gs_0.pickle,511.4526927471161
EEHEE,1,0.9946004319654428,0.9827586206896551,0.9969530321046374,0.9973260589146065,"[[114   2]
 [  2 114]]",classifiers/EEHEE_sme_rf_clf_gs_1.pickle,467.88381338119507
EEHEE,2,0.9892008639308856,0.978448275862069,0.9965071343638525,0.9971014241356614,"[[113   3]
 [  2 114]]",classifiers/EEHEE_sme_rf_clf_gs_2.pickle,491.38168501853943
EEHEE,3,0.9924406047516199,0.9956896551724138,0.9971759809750298,0.9978728168383341,"[[116   0]
 [  1 115]]",classifiers/EEHEE_sme_rf_clf_gs_3.pickle,439.8649113178253
EEHEE,4,1.0,0.9870689655172413,0.9950579667063021,0.9963235840930751,"[[114   2]
 [  1 115]]",classifiers/EEHEE_sme_rf_clf_gs_4.pickle,452.676381111145
EEHEE,5,1.0,0.9870689655172413,0.9980677764565993,0.997979521027482,"[[113   3]
 [  0 116]]",classifiers/EEHEE_sme_rf_clf_gs_5.pickle,513.7839903831482
EEHEE,6,0.9913606911447084,0.9655172413793104,0.9907104637336505,0.9925094967480761,"[[109   7]
 [  1 115]]",classifiers/EEHEE_sme_rf_clf_gs_6.pickle,448.19438648223877
EEHEE,7,0.9881209503239741,0.978448275862069,0.9986623067776457,0.9986699215576053,"[[113   3]
 [  2 114]]",classifiers/EEHEE_sme_rf_clf_gs_7.pickle,459.9259133338928
EEHEE,8,0.9935205183585313,0.978448275862069,0.9986623067776457,0.9986479887771165,"[[112   4]
 [  1 115]]",classifiers/EEHEE_sme_rf_clf_gs_8.pickle,456.70181918144226
EEHEE,9,0.9881209503239741,0.978448275862069,0.9956896551724138,0.9950814157925914,"[[111   5]
 [  0 116]]",classifiers/EEHEE_sme_rf_clf_gs_9.pickle,437.8609709739685
HEEH,0,0.8936170212765957,0.8958333333333334,0.9079861111111112,0.8840338190925416,"[[22  2]
 [ 3 21]]",classifiers/HEEH_sme_rf_clf_gs_0.pickle,149.21299409866333
HEEH,1,0.9202127659574468,0.6875,0.7708333333333334,0.7186145906581802,"[[15  9]
 [ 6 18]]",classifiers/HEEH_sme_rf_clf_gs_1.pickle,146.5245497226715
HEEH,2,0.9840425531914894,0.8333333333333334,0.8559027777777778,0.8452861636410252,"[[20  4]
 [ 4 20]]",classifiers/HEEH_sme_rf_clf_gs_2.pickle,153.861754655838
HEEH,3,0.8936170212765957,0.7708333333333334,0.875,0.8898863279449495,"[[17  7]
 [ 4 20]]",classifiers/HEEH_sme_rf_clf_gs_3.pickle,151.1683166027069
HEEH,4,0.9893617021276596,0.7083333333333334,0.84375,0.8252419220103477,"[[17  7]
 [ 7 17]]",classifiers/HEEH_sme_rf_clf_gs_4.pickle,153.4515929222107
HEEH,5,0.8617021276595744,0.6875,0.796875,0.8199990461053114,"[[16  8]
 [ 7 17]]",classifiers/HEEH_sme_rf_clf_gs_5.pickle,147.55863308906555
HEEH,6,0.9574468085106383,0.6666666666666666,0.8020833333333333,0.7871194056901103,"[[17  7]
 [ 9 15]]",classifiers/HEEH_sme_rf_clf_gs_6.pickle,154.4920608997345
HEEH,7,0.8723404255319149,0.8125,0.8784722222222221,0.8104974620976392,"[[20  4]
 [ 5 19]]",classifiers/HEEH_sme_rf_clf_gs_7.pickle,152.71798038482666
HEEH,8,0.8670212765957447,0.875,0.935763888888889,0.9485484395438003,"[[21  3]
 [ 3 21]]",classifiers/HEEH_sme_rf_clf_gs_8.pickle,151.9897165298462
HEEH,9,0.9042553191489362,0.7708333333333334,0.8628472222222222,0.8347268260261793,"[[17  7]
 [ 4 20]]",classifiers/HEEH_sme_rf_clf_gs_9.pickle,151.11465573310852
EHEE,0,0.9521178637200737,0.8786764705882353,0.9536656574394463,0.9584649433206182,"[[126  10]
 [ 23 113]]",classifiers/EHEE_sme_rf_clf_gs_0.pickle,870.0903165340424
EHEE,1,0.9714548802946593,0.9227941176470589,0.9815635813148789,0.984590232045069,"[[130   6]
 [ 15 121]]",classifiers/EHEE_sme_rf_clf_gs_1.pickle,864.3961126804352
EHEE,2,0.9779005524861878,0.8860294117647058,0.9528006055363323,0.9614066325363946,"[[125  11]
 [ 20 116]]",classifiers/EHEE_sme_rf_clf_gs_2.pickle,791.3781170845032
EHEE,3,0.9871086556169429,0.9044117647058824,0.978265570934256,0.977629227089028,"[[131   5]
 [ 21 115]]",classifiers/EHEE_sme_rf_clf_gs_3.pickle,759.5479154586792
EHEE,4,0.988950276243094,0.8860294117647058,0.9685878027681661,0.9736691686035628,"[[129   7]
 [ 24 112]]",classifiers/EHEE_sme_rf_clf_gs_4.pickle,760.2946314811707
EHEE,5,0.9751381215469613,0.8860294117647058,0.9529628027681661,0.9596692341193883,"[[125  11]
 [ 20 116]]",classifiers/EHEE_sme_rf_clf_gs_5.pickle,868.6868319511414
EHEE,6,0.9650092081031307,0.875,0.9602076124567475,0.9543244331663512,"[[121  15]
 [ 19 117]]",classifiers/EHEE_sme_rf_clf_gs_6.pickle,732.8815577030182
EHEE,7,0.9622467771639043,0.9154411764705882,0.9684796712802769,0.9735656544738726,"[[130   6]
 [ 17 119]]",classifiers/EHEE_sme_rf_clf_gs_7.pickle,837.7251884937286
EHEE,8,0.9696132596685083,0.9154411764705882,0.9689121972318339,0.9682449236368502,"[[127   9]
 [ 14 122]]",classifiers/EHEE_sme_rf_clf_gs_8.pickle,742.6433296203613
EHEE,9,0.9852670349907919,0.8823529411764706,0.9641003460207612,0.9690141679028108,"[[126  10]
 [ 22 114]]",classifiers/EHEE_sme_rf_clf_gs_9.pickle,849.4979121685028
